,Nick,League Points,Jogos Diários,Jogos
0,KDA Kaos,1730,0,454
1,Shirazu,1427,0,256
2,BES ego illusion,1345,0,337
3,Orono Noguchi,1237,0,251
4,BES Midor1ya,1225,0,387
5,Gune,1163,0,656
6,d00pE,1136,0,294
7,Eunucão,1106,0,377
8,Pikáchú,1090,0,218
9,Sh1razu,1050,0,179
10,FOUR Dianbizir,1015,0,317
11,HR felipeeanjos,985,0,227
12,DETETIVE ALINE,967,0,221
13,Levi,961,0,463
14,Flangonator,937,0,501
15,G2 Anklam,928,0,226
16,BES DobZ,919,0,191
17,eusouolucas,908,0,195
18, vclf,908,0,183
19,Koala Esbelto,906,0,198
20,TFx Creitu,905,0,301
21,Tsuuzaki,859,0,231
22,PepeChill ,851,0,394
23,Caju vc prometeu	,839,0,185
24,Math108,825,0,183
25,Slooper,822,0,180
26,EmiIe Durkheim,764,0,261
27,inc mplete,740,0,363
28,Krowck,725,0,373
29,Freez,714,0,278
30,BES Toddy,682,0,207
31,NiihiI,669,0,693
32,BEE Erith,661,0,244
33,Irmão Koda,646,0,189
34,Miguel Arkjow,644,0,222
35,LeS Neuro,609,0,196
36,KDA Nefalla,601,0,268
37,Sh0W,583,0,152
38,Gran Jie,574,0,287
39,Endeev,568,0,598
40,Tamizo,567,0,194
41,BD Wed,560,0,405
42,FOUR BieuL,549,0,186
43,KDA wenked,548,0,340
44,hopperion,548,0,200
45,Haxwei,518,0,100
46,KDA Sukesvs,505,0,343
47,Fobia Social,505,0,310
48,Main Jhin Buuu,469,0,280
49,Twitch Phelpz13,454,0,320
50,Cool Guy0,559,0,198
51,BES vipi,539,0,445
52,proenca z1k4,538,0,173
53,zViic,537,0,454
54,Gabymar10,534,0,244
55,LI0NEL MËSSI 10,525,0,229
56,R1uku,520,0,219
57,Davvi AC,520,0,199
58,gabsreal,514,0,171
59,Gott ll,508,0,258
60,Make Them Suffer,493,0,173
61,Eddie Jr,491,0,196
62,Renato o Delgado,489,0,117
63,Kleike,474,0,239
64,Isonomy,464,0,141
65,NiNooce,463,0,207
66,MegaJonga,458,0,278
67,Sdds Chosen,455,0,197
68,Summer578,453,0,111
69,NessHS,452,0,518
70,Tjjuninho,447,0,256
71,nojiris,445,0,195
72,Rafael Araújo,443,0,313
73,Guiczar,431,0,257
74,Nefalla TFT,431,0,251
75,favriel1,426,0,197
76,andre nf,422,0,331
77,PedroBanana,418,0,440
78,LeuzZoka,418,0,129
79,Aragatheus,417,0,249
80,Gianecchini 157,414,0,309
81,JosneyQT,407,0,221
82,Zehluk TFT,407,0,143
83,l Akeshi l,399,0,332
84,AmorSorrisoFlor,382,0,232
85,DarkMagician,381,0,239
86,musica p drift,367,0,142
87,Barrymain,366,0,289
88,KDA Constantine ,364,0,441
89,Neves,364,0,86
90,LeS Allanzim,362,0,264
91,Yuzuki Choco,360,0,58
92,BEE Soft,357,0,173
93,Lyawr,356,0,375
94,BES Narkesh,354,0,207
95,MARX ERA ANCAP,348,0,249
96,FOUR Dairon,347,0,190
97,Puke and Cry,347,0,332
98,Kenji1 TFT,347,0,206
99,MittCrowen,345,0,220
100,bizi duelista,343,0,411
101,blackbiee,340,0,305
102,Senta Pro Espeto,338,0,284
103,Ciulla,335,0,223
104,SunTous,334,0,190
105,kamikzz,333,0,199
106,tremor123,332,0,156
107,gzO,329,0,190
108,XadrezdePobre,320,0,90
109,FOUR ggab,316,0,104
110,mhopperjc,314,0,113
111,Mathze,314,0,188
112,zKousei,314,0,211
113,chaparaulius,313,0,266
114,Ieko,312,0,217
115,TFx Pokemowner,300,0,183
116,PHonda,298,0,107
117,Cauezoca,295,0,150
118,TFTalrand,289,0,321
119,random kdramaer ,288,0,106
120,INTZ ian,287,0,474
121,Hayuke,279,0,143
122,me vê 7 pães,278,0,51
123,O z   H,273,0,143
124,msK I,269,0,172
125,Boi Gui,267,0,97
126,KDA AtHoM44,266,0,298
127,Texugö,259,0,316
128,El Ancestral,259,0,216
129,White Bomberman,258,0,243
130,me vê 4 pães,258,0,126
131,matmed,257,0,245
132,Rendras,256,0,97
133,BES Patr0ci,256,0,371
134,FOUR Serask,256,0,106
135,Spartaway TFT,255,0,223
136,masaya,250,0,157
137,Merlinho,249,0,238
138,MAIN Snakke,249,0,243
139,LeS Loredonix,248,0,287
140,TFx Goiabeira,246,0,161
141,xFlashy,243,0,112
142,Akali Preguiçosa,238,0,161
143,TFT nearn,234,0,208
144,IuIiz,232,0,140
145,Light Of Lies,228,0,126
146,SoPassoRaiva,225,0,112
147,ThangChivass,208,0,296
148,DaysOfTheNew,115,0,290
149,iiiihsah,104,0,176
