,Nick,League Points,Daily Games,Games
0,やつはし,1300,0,313
1,Best 佐藤 JP,1204,0,468
2,title,1177,0,445
3,Rise8332,1136,0,398
4,Hiraino,1054,0,518
5,りーり,1048,0,542
6,kes,1042,0,371
7,じーく,1040,0,526
8,Mïdor1,1036,0,255
9,연속살인마,1013,0,369
10,summertimer,990,0,259
11,やふーくん,909,0,315
12,ぬこ丸,880,0,297
13,しかめまどか,817,0,460
14,山田周人,815,0,177
15,jeremy624,798,0,240
16,suihanjaaa,796,0,365
17,trotv,795,0,161
18,next777,788,0,554
19,ザリガニ大会,783,0,575
20,popo3,757,0,280
21,ginTab,757,0,290
22,tikpen,753,0,518
23,sobakotu,746,0,234
24,ハーレイ,741,0,334
25,gasin,705,0,395
26,HiROKKtft,705,0,598
27,NiuHS,702,0,313
28,kaito716,701,0,346
29,Starfish4,700,0,596
30,Cresselia123,690,0,201
31,Ending Scene,680,0,319
32,きじちゃん,674,0,464
33,hinekura,672,0,444
34,Sarasouju,664,0,265
35,スト缶ODしのぴ,657,0,474
36,Archsy,641,0,431
37,ミドリガメ,619,0,107
38,Alpha,615,0,169
39,黄金ユウユウ,614,0,272
40,IRAMU,608,0,262
41,あきこだよ,604,0,128
42,Riowh,596,0,557
43,mmip4W8B5,589,0,305
44,bappy,586,0,651
45,高科 奈桜,581,0,604
46,わたなべ,581,0,371
47,ゴマちゃん,531,0,386
48,NieReincarnation,524,0,570
49,Yang9Yang9Yang9,452,0,103
50,ginya916,684,0,358
51,れっさーくん,609,0,232
52,kimchim,598,0,299
53,VNS Anna,597,0,286
54,南梦芽大好き,567,0,147
55,  インターネット,566,0,380
56,mohohohoooooo,558,0,305
57,MengGua,552,0,471
58,VNS LiuCT,539,0,268
59,GHOSTLIBERATOR,537,0,716
60,スコップ三段,534,0,192
61,Kaitenkurukuru,525,0,225
62,お別れしましょう,525,0,249
63,JV Båc Cåi,505,0,304
64,Orgap,504,0,264
65,pano,500,0,338
66,のいがはま,497,0,322
67,lllIllllI,496,0,185
68,アキイクＳ,494,0,472
69,dosaidon0,485,0,288
70,hakaginanasi,476,0,221
71, N E I  T  95,469,0,218
72,allestio,463,0,492
73,watchhhhhh,461,0,136
74,takosan,451,0,299
75,kohada19,442,0,181
76,NonD,442,0,552
77,glutane,441,0,346
78,竜王なかじま,439,0,335
79,おさむらい,437,0,422
80,tukioka,433,0,529
81,Bomelee,432,0,170
82,apa09Neo,428,0,357
83,Shuryna,425,0,371
84,orange7premium,422,0,360
85,Bal1om,418,0,168
86,Timberman,417,0,314
87,kenana77,415,0,354
88,TrollP,411,0,380
89,88888889,407,0,210
90,dozepk,406,0,334
91,70855456,404,0,482
92,理解のある彼くん,403,0,144
93,asukastar,397,0,199
94,しびら,396,0,699
95,vanderkahn,395,0,308
96,はいやい,393,0,466
97,NgáO ThÁi,393,0,264
98,害獣あらいぐま,391,0,296
99,dungeon64,389,0,277
100,BigInKey,388,0,505
101,Yuna,384,0,370
102,xtc,384,0,174
103,福星1103,382,0,374
104,卍にっく卍,379,0,304
105,RFelix,376,0,114
106,ぱーちん,374,0,358
107,yamagtx,373,0,262
108,RsKz nora,363,0,249
109,Syre,362,0,199
110,mr14085mr,354,0,277
111,UAG UGA UAA,353,0,361
112,kurokumori,353,0,320
113,VTAKU77,353,0,420
114,Silverse,349,0,254
115,tupeko,348,0,305
116,NA gyalubaby,346,0,202
117,野菜シャキシャキ,346,0,194
118,hirateuti,345,0,141
119,えんどほーぷ,345,0,479
120,yukanidas,344,0,244
121,Bacon2913,344,0,224
122,karakuti,343,0,125
123,しんたみ,343,0,268
124,ルシム,342,0,285
125,ERA2000,339,0,254
126,SouryuBedMan,338,0,223
127,ぐｮwuぢwｿAqｨｳしk,338,0,129
128,Just Hitt,337,0,181
129,ぽにやん,337,0,313
130,ふなまん,336,0,339
131,ゆめの,334,0,420
132,capejr,333,0,340
133,daruma123,331,0,236
134,hitamago,330,0,181
135,AikaS,329,0,215
136,ぬるかな,325,0,165
137,IKUTOMIE,325,0,162
138,あさはパン,322,0,394
139,youxibaga1,321,0,290
140,yosida3,320,0,201
141,maonn,320,0,192
142,柑橘系おでん,320,0,226
143,ちんもくはる,320,0,284
144,ishiden,316,0,512
145,Tyantama,292,0,334
146,lav12,292,0,137
147,Ryona,284,0,588
148,Anemone123,282,0,474
149,Anieze,180,0,151
