,Nick,League Points,Jogos Diários,Jogos
0,SanChess,1686,0,305
1,TwTF 드록바,1603,0,187
2,피부미인드록바,1590,0,420
3,uL ZENIA,1575,0,624
4,PBE안해도너보다잘함,1573,0,185
5,저격수S,1573,0,203
6,FA strongsexy,1533,0,397
7,uL precel,1532,0,661
8,T1 Bebe872,1523,0,448
9,지보배2,1477,0,183
10,오박사TV,1453,0,442
11,강선종,1410,0,579
12,My Paradise,1410,0,225
13,뚜 두,1408,0,262
14,베승기,1395,0,376
15,카시장인 삿카시,1378,0,342
16,퐈피는 잘못없어,1372,0,320
17,정동글 YouTube,1353,0,291
18,우쭐리우중,1348,0,467
19,엘무무 Youtube,1331,0,548
20,TwTF 김준민,1323,0,468
21,JJangsung 2 YA,1320,0,564
22,줘 너,1316,0,356
23,Mig Global,1304,0,373
24,두눈이,1300,0,391
25,Acro DrucKer,1292,0,428
26,천연만화,1280,0,403
27,uL 판키,1276,0,601
28,밀짚모자 쌍옆,1275,0,337
29,초가스와 코그모,1273,0,343
30,광어콩,1248,0,612
31,지보배,1241,0,310
32,TFT 가지볶음,1240,0,429
33,bn 뽀뇨뽀노,1231,0,300
34,짐승의삶z,1206,0,145
35,여리링,1205,0,260
36,장유보안관,1190,0,351
37,영판항,1189,0,507
38,TwTF 표면,1184,0,186
39,ManChodi TFT,1182,0,358
40,나연아보고싶어그때로돌아가자우리,1181,0,202
41,곰과제리,1162,0,453
42,Luzesky,1158,0,481
43,신루리,1154,0,345
44,표 면,1153,0,468
45,진우와 윌럼프,1152,0,389
46,인성파탄난쓰레기,1151,0,465
47,정신이있니없니,1147,0,391
48,뿔보 정점 김뚜헝,1144,0,434
49,퀸카 은지,1143,0,229
50,롤체열심히함,1140,0,780
51,NA OH MY EYE,1136,0,342
52,말안들으면트롤함,1133,0,408
53,롤체계의거물,1128,0,591
54,Kanatan,1128,0,445
55,정동기리,1125,0,184
56,uL ZENlA,1124,0,401
57,uL 깜시루,1123,0,444
58,이렇게 좋은 날,1113,0,426
59,심 맹,1107,0,341
60,자프키엘,1107,0,192
61,세유나,1105,0,360
62,Irail,1104,0,266
63,Acro 바니,1102,0,435
64,무지성풀캠박치기,1098,0,365
65,핑크다이아몬드,1097,0,533
66,dunizuni,1094,0,498
67,You Kn0w What,1077,0,309
68,Acro Jokipapa,1076,0,291
69,TAEGIEE,1075,0,374
70,구깨룩3,1073,0,301
71,KGE,1071,0,230
72,꾸루멍,1069,0,291
73,윤종기,1065,0,331
74,3Chon,1064,0,301
75,Acro uu,1062,0,377
76,Teukhan,1056,0,706
77,반림동,1046,0,364
78,하이라이프,1042,0,702
79,엠돈 유튜브 구독,1042,0,619
80,Crumple,1041,0,366
81,말티푸귀여워,1037,0,476
82,프리레버,1032,0,502
83,YORDEL,1032,0,330
84,Elatha,1031,0,172
85,이강인    직,1028,0,396
86,지하닝팬,1026,0,342
87,uL 성민,1024,0,413
88,난 강아지없어힝,1022,0,264
89,김하잉,1021,0,351
90,쭈 농,1013,0,369
91,우리원딜레드도둑,1013,0,214
92,허민욱 전용 백정,1013,0,144
93,OkaygeBusiness,1009,0,115
94,다우니아야해쩌,1008,0,283
95,uL 빈틈,1008,0,166
96,아갓어,1007,0,443
97,shungjinsoo,1003,0,277
98,Hz 태콩,1003,0,426
99,종범1,994,0,219
100,uL 쵸리,992,0,416
101,리플평단 1430,982,0,157
102,TOTY 카이바,982,0,392
103,배 치 의 신,982,0,454
104,alleTFT,966,0,149
105,요괴 9단 yaoguai,964,0,631
106,15테임즈,959,0,256
107,다우니아야해떠,954,0,211
108,Hz 카지노딜러,949,0,474
109,T1 꼴픽이,945,0,363
110,하늘희락3,945,0,642
111,찰나권총12강팜,940,0,418
112,플인선,940,0,233
113,띵 땡,939,0,411
114,3GJ 부캐,937,0,446
115,폰으로챌린저감,936,0,484
116,설빙봉 ,934,0,611
117,uL Pado,934,0,194
118,Hz 히츄,933,0,414
119,민트초코탕수육,932,0,517
120,트위치 강천둥,931,0,581
121,cA0S,931,0,393
122,TwTF 민다빈,930,0,328
123,Me god,930,0,355
124,Delete ADC,930,0,374
125,Hz jaemin,929,0,426
126,로디2,928,0,282
127,재한1,925,0,294
128,레아 00,925,0,436
129,비읍학,921,0,372
130,둘리52,921,0,275
131,1타강사 주노우,919,0,291
132,시건호2,918,0,374
133,Hz 쁘보배,917,0,353
134,코스모스웩,917,0,235
135,sotosofo,917,0,305
136,mymaster2,916,0,254
137,DOMINAT0R,909,0,324
138,Rachel 성나연,907,0,447
139,탑 제이스,903,0,264
140,BerB,903,0,367
141,복덕훅,896,0,406
142,Akilleus from EU,892,0,314
143,지하닝,892,0,580
144,롤체스메시,887,0,531
145,샐리의 법칙,882,0,330
146,Rank1ng,882,0,336
147,쪼해피롱,881,0,514
148,충주사과꿀주먹,881,0,337
149,순방요정,880,0,228
150,정 장,880,0,344
151,Mig 설화산티모,878,0,305
152,드로우갓겜,876,0,288
153,빠코TV,874,0,307
154,부천정재경,872,0,413
155,NEGF,869,0,386
156,쌈장과벗,866,0,497
157,쐐기검,864,0,276
158,쉐르비,864,0,741
159,화난짹짹3,864,0,232
160,치릴구,863,0,618
161,호 까,863,0,301
162,역션환,861,0,410
163,멘탈매우안좋음,857,0,887
164,Hwj,857,0,627
165,제로겟,853,0,312
166,므네짱짱,853,0,403
167,녹턴오빠불좀꺼,852,0,380
168,엉망진창 메시,852,0,187
169,Furch Red,851,0,418
170,진 샤,848,0,296
171,재공소년,847,0,380
172,놈보배,844,0,289
173,포 뇻,841,0,454
174,uL 칸체스Tv,840,0,195
175,푸도로,836,0,510
176,결빙화,835,0,861
177,대왕 굴비,835,0,393
178,MRNGU2,833,0,538
179,칼픽 다리,832,0,295
180,롤체챌까지한걸음,828,0,286
181,서강대영미어문,827,0,216
182,크흐맨,827,0,206
183,볼빵빵 테리어몬,824,0,335
184,뚠뚠펭귄,820,0,215
185,손목날아가분다,818,0,300
186,우리크,816,0,475
187,퀸인경,814,0,513
188,AFTV 배그좋아,813,0,724
189,behappy0504,812,0,719
190,Hz 에픽,812,0,205
191,스킬찍찍찍,812,0,225
192,랭킹1위후보,810,0,186
193,에 더,802,0,216
194,발 명,802,0,633
195,덕소나몽이,800,0,643
196,낭만 메잠,797,0,178
197,서폿장인노짱,796,0,344
198,알오비4,795,0,187
199,영점오,794,0,158
200,집은내가지킬게,793,0,620
201,PERSON 0,793,0,280
202,이상한미소,793,0,228
203,발바닥위에,791,0,237
204,세훈에몽,791,0,428
205,MAYSAQ,788,0,329
206,인천피스트유튜브,786,0,130
207,뿔보 절정 박성연,786,0,202
208,불암초척추분쇄기,784,0,707
209,칸체스TV,779,0,123
210,구지금,777,0,148
211,초코만,775,0,77
212,망한손,774,0,397
213,홀애비,773,0,585
214,콧수염로망스,773,0,560
215,경진이,769,0,118
216,낭군같은남자,766,0,391
217,귤이달면좋아,766,0,423
218,00Jungle,765,0,257
219,쌈 굴,763,0,278
220,나하뚜,761,0,379
221,아 갓 씨,761,0,721
222,Trick C,759,0,639
223,메추리777,757,0,264
224,대화를 좋아해,757,0,279
225,응애 나 애기보리,757,0,345
226,나의 일기장,756,0,327
227,세나 히데토시,756,0,697
228,김밥처럼 넌 만두처럼 달콤해,755,0,114
229,구진심,755,0,173
230,필통이,755,0,323
231,아니뭐할건데,753,0,253
232,두한짱 ,753,0,178
233,협찰찰,752,0,343
234,실수투성이 아이,750,0,213
235,zl존현민짱,749,0,415
236,단간론파키리기리,749,0,471
237,하루카,748,0,500
238,Devourance,748,0,146
239,Inativs,747,0,360
240,빵멍보다 못함,747,0,352
241,zoozzang,746,0,129
242,dps극딜,746,0,289
243,신사가 되세요,746,0,152
244,호마레토,745,0,162
245,정회 조,744,0,552
246,TwTF 인천피스트,742,0,309
247,개소리 한소리,740,0,364
248,Hz 안혁준2,739,0,377
249,진짜홍삼,738,0,190
250,wight3,738,0,380
251,주식개박살,737,0,438
252,팀략적전게임,734,0,401
253,강도깨뷔,734,0,205
254,TFT Show,734,0,157
255,wMir,732,0,398
256,부디 아픔이 없이,731,0,373
257,상체 뽑는 망겜,731,0,214
258, IlIlllIIlIIIlIl,731,0,331
259,우리집엄마아빠,730,0,547
260,TFT Ranker,729,0,210
261,dunezune,729,0,152
262,lIIIlllIIlIl,726,0,207
263,알파카농장주,726,0,555
264,한남 동각,726,0,328
265,금빵이,726,0,232
266,정우송,725,0,239
267,HALMHALM,725,0,147
268,ShrimpVicious,724,0,526
269,미리리미리,724,0,248
270,HappYUN,723,0,247
271,nywell,723,0,145
272,구깨룩,721,0,95
273,청년과 중년사이,721,0,435
274,근열맨,720,0,439
275,Acro 보라돌이,720,0,288
276,키 키 늉,719,0,321
277,uL 종또리,719,0,212
278,세나릴,718,0,478
279,롤체 전문 한의사,718,0,293
280,어른이될사람,717,0,379
281,twitch zooclo,717,0,396
282,배토체스보고배움,717,0,427
283,철회랜드,716,0,509
284,교촌치킨레드허니,716,0,278
285,snoopuh,714,0,250
286,인하루엔,714,0,268
287,acro 상mini,713,0,209
288,앗 어,712,0,456
289,모 찌 늉,711,0,306
290,1타강사 깨멍이,711,0,435
291,적사스오,710,0,231
292,케인지 크몽,710,0,249
293,컁 캉,703,0,550
294,서포터 카르마,695,0,186
295,초보끼리합시다,695,0,221
296,Easy Mode,694,0,629
297,Acro Nicole,686,0,418
298,hipii,650,0,266
299,청민이다,596,0,222
300,zl존최강롤체123,722,0,149
301,소환사의제제,717,0,245
302,되게 불안한 사람,715,0,391
303,Unhesitate,714,0,214
304,rabbit12,709,0,326
305,싼타할매,709,0,300
306,어깨가무거운사람,709,0,478
307,beautifuI sun,707,0,306
308,심 딴,706,0,216
309,Useless Chat,706,0,232
310,asdfewqrwe,704,0,125
311,1Chon,703,0,213
312,뭘꼬라보니아가야,703,0,275
313,보토르,703,0,263
314,몽글몽글가렌,701,0,281
315,Ignited,699,0,132
316,NCT노래듣는사람,698,0,129
317,기모자,698,0,356
318,꽝 백,697,0,416
319,근면성실한 사람,697,0,219
320,산천어홍보대사,694,0,323
321,Soldering,688,0,443
322,Acro 인턴,686,0,99
323,Ice아메리카노I,684,0,508
324,롤하다죽을란다,684,0,137
325,Maxbetzz,683,0,428
326,diay,682,0,404
327,Yoo Jin2,681,0,248
328,껄봇윗,680,0,348
329,Anuemine,680,0,410
330,오늘은 이걸로 해,680,0,242
331,분석왕봉달이,679,0,891
332,inla99,676,0,317
333,은싸사랑개,673,0,280
334,빙이는 아가야,673,0,196
335,다냥냥,673,0,259
336,홍시띠,671,0,304
337,베이스 여왕키키,671,0,205
338,해골7,670,0,202
339,배치차이 원식,669,0,431
340,박 휘 동,669,0,259
341,꽉끼는반지,664,0,95
342,팬티속보추,663,0,52
343,턱타르,661,0,324
344,저 서 비 ,660,0,548
345,해리 번스,659,0,118
346,빙하유령정찰원소,658,0,281
347,쌰커우,658,0,145
348,리롤의 부두술사,657,0,393
349,유탑오블레스,656,0,253
350,Acro 나나,653,0,269
351,uL Jg Jax,652,0,515
352,장주현,652,0,250
353,바질이활짝필때,650,0,252
354,껌크림,648,0,230
355,hz 카보배,648,0,298
356,용병 박병성,646,0,103
357,실망몬,644,0,490
358,랩동젤,643,0,239
359,Acro 골드,641,0,406
360,김맛귤2,640,0,353
361,소브로,637,0,360
362,득득과 윌럼프,634,0,326
363,Oreoreoreoreoreo,634,0,414
364,순 바,632,0,141
365,3년만에 돌아온,632,0,200
366,아현아 결혼하자,631,0,287
367,베르톨트,628,0,526
368,너 밤,625,0,252
369,체스오브레전드,625,0,467
370,멀록은니엄마야,624,0,243
371,식사담당,624,0,359
372,허니비 YouTube,624,0,378
373,ROOT SuperNova,624,0,424
374,오직바위게만,624,0,218
375,해킹왕,623,0,284
376,Yoo Jin,622,0,326
377,아뮤뮤뮤뮤,621,0,499
378,엉망진창 오띠띠,620,0,569
379,rxre,618,0,227
380,광기의 CC기,618,0,424
381,나그거한입만주라,618,0,218
382,현직깡패,611,0,149
383,하스하다왔어,609,0,203
384,쁘보배빈그레,608,0,570
385,타오갓,607,0,362
386,편하게하는사람,607,0,185
387,TwTF 진흙이,606,0,523
388,랩퍼카렌,606,0,368
389,홈카페프렌즈,606,0,329
390,너무행복한뱅후니,606,0,422
391,손 대 윤,605,0,240
392,SSoDA,603,0,329
393,KAIST 21학번,603,0,434
394,prayer기도만번함,603,0,214
395,팀 플레이어,602,0,458
396,끙락쀼,601,0,181
397,정6점,601,0,435
398,눈동자 속 은하수,596,0,392
399,겜좀재밌네,596,0,106
400,Del Luna Fan,595,0,301
401,예당중3학년정모 ,591,0,300
402,AgathaZest,591,0,285
403,영혼해방운명봉인,588,0,112
404,vbra,586,0,442
405,나는 생각이 너무 많아,585,0,426
406,즐겜하는 노마딕,584,0,321
407,코난방송좋아해요,583,0,333
408,Let it Rain,582,0,294
409,헤이즈 노래모음,580,0,508
410,욍욍욍욍욍욍욍,580,0,165
411,Mig 부먹요정,579,0,191
412,실리키안,578,0,239
413,dippindot,573,0,242
414,로구달,573,0,404
415,michinnomida,572,0,580
416,배 서,570,0,196
417,빵쿠이,569,0,257
418,맹유찬1,569,0,342
419,인내 절제 냉정함,568,0,206
420,정상수이온충격기,568,0,223
421,euro,568,0,561
422,카나야 좋아해,567,0,541
423,판수도르,566,0,387
424,LimHyeongseok,565,0,331
425,제티스,565,0,371
426,si9n,564,0,321
427,전투기계장인,564,0,223
428,세주아니 장인,563,0,156
429,띵 바 땡 보,563,0,251
430,항산항심,562,0,504
