,Nick,League Points,Jogos Diários,Jogos
0,sètsuko,1838,0,532
1,nhân tâm,1683,0,516
2,HyunTer,1590,0,269
3,Sphinx,1562,0,454
4,VX TFTDL888,1513,0,344
5,Liquid Goose,1503,0,355
6,SpencerTFT,1498,0,386
7,TSM FTX Kiyoon,1495,0,390
8,Ramblinnn,1397,0,183
9,Broccóli,1393,0,291
10,Velayy,1383,0,310
11,EndofSky,1377,0,647
12,Kageros,1357,0,795
13,casparwu,1352,0,542
14,chunkypapa,1305,0,251
15,BC Socks,1303,0,512
16,Liquid Robin,1300,0,422
17,Hydra Summoner,1262,0,222
18,Aesah,1259,0,431
19,dementedgraph,1236,0,327
20,Liquid Kurumx,1221,0,332
21,Kovanel,1208,0,476
22,Souless,1206,0,325
23,TSM FTX Souless,1189,0,273
24,SpicyAppies,1185,0,333
25,iG guubum,1179,0,388
26,Dace,1161,0,344
27,VX15375231123,1160,0,307
28,C9 k3soju,1141,0,642
29,Milk Guy,1136,0,318
30,I Miss Void Sins,1132,0,415
31,Mean Mister Kien,1132,0,591
32,Cottontail,1130,0,737
33,Kiting is Hard,1127,0,481
34,OCE DICTATOR,1116,0,294
35,Stompalittle,1110,0,599
36,I Am BonAppleT,1100,0,319
37,Riot imowt,1096,0,480
38,steppy,1079,0,318
39,iG DQA,1068,0,443
40,FreshVeggies,1056,0,272
41,Ruele,1035,0,242
42,KurumsBodyguard,1034,0,233
43,Teechu,1031,0,540
44,RamKev,1021,0,599
45,Grillsyy,1017,0,584
46,Dıshsoap,1016,0,513
47,milala,1011,0,331
48,XTF MST Kwaz,1008,0,557
49,Darth Nub,985,0,335
50,KR DDUDU,974,0,188
51,BlackBigBig,968,0,517
52,inikoiniko,945,0,396
53,iiLucky,945,0,445
54,Kira,940,0,245
55,poisonpirate,939,0,182
56,BazLoL,935,0,422
57,enaek,921,0,393
58,prine2,919,0,429
59,jdzielinski22,917,0,152
60,Xnieamo,913,0,285
61,xiao dian dian,913,0,392
62,pyrirer,903,0,214
63,chessmage,902,0,290
64,Flashbâng,900,0,407
65,ssenilenoL,899,0,406
66,Wíthin,898,0,421
67,ilikeike,896,0,277
68,freshveggies03,893,0,386
69,HuluBro I 98,892,0,213
70,godp3,886,0,395
71,Tsmmaa,886,0,445
72,bertasaurus,883,0,288
73,Nostereleven,883,0,427
74,Pakhkhk,881,0,278
75,JazLatte,879,0,417
76,Aärön,874,0,444
77,Dowsie Protector,873,0,431
78,PickleOnion,869,0,567
79,papercheeze,868,0,197
80,MegaGrega,852,0,503
81,Yiggles,852,0,390
82,garet,846,0,299
83,Ueckar,844,0,282
84,Teem Onodera,844,0,293
85,bobbyex,844,0,232
86,plumbum,841,0,366
87,Sun Astronaut,840,0,250
88,KevChen,838,0,409
89,KR AlleDeli,832,0,159
90,robivankenob,832,0,599
91,Kr WooZzul,830,0,247
92,Béaster,829,0,248
93,vx dl875792007,828,0,249
94,NodeJS,824,0,293
95,ReynzeR,820,0,212
96,fsf,820,0,503
97,dogdogdog,820,0,452
98,NG bossoskills,812,0,423
99,kevyzhou,810,0,775
100,uwudamndaniel,790,0,360
101,Spethom,790,0,309
102,PPPRESTIVENT,789,0,475
103,carrotman,788,0,283
104,mimi9,788,0,439
105,egg boy john,787,0,336
106,QssYoneAbuser,786,0,119
107,yungkev,781,0,392
108,douyu9305388,776,0,677
109,TFT VX 674706031,775,0,340
110,ASIANGUCCISQUAD,768,0,288
111,Luqun,764,0,326
112,enchabi,763,0,227
113,Zetia,760,0,204
114,VX F2106138897,760,0,348
115,iG Noobowl,758,0,156
116,TACOBELL WlFl,757,0,499
117,KinGKraXx,756,0,378
118,Brad N ,753,0,258
119,TTV WaterAsChase,744,0,981
120,GDtheman,743,0,647
121,HUGE WATERPARK,743,0,474
122,TheWaterBearr,737,0,391
123,dpei,735,0,241
124,RiotMadnessHeroo,726,0,309
125,mD Kjaos,724,0,95
126,TuxedoRose,722,0,591
127,lunaloveee,721,0,298
128,Loomykev11,715,0,368
129,mD Jiggly,709,0,124
130,Chua,706,0,291
131,mD rue loves you,705,0,215
132,KOOMMoley,704,0,286
133,huyg,704,0,398
134,H3XAGON,704,0,383
135,NG Poppin,702,0,316
136,CsCs Rodrigo,698,0,457
137,Tinyy,697,0,225
138,TFT China NO 1,695,0,141
139,rayditz,694,0,536
140,YippeeMaokaiYay,694,0,399
141,falletio,693,0,126
142,Sehnbon,692,0,232
143,HenryGeez,691,0,227
144,rivulet,691,0,555
145,lygnyns,689,0,226
146,The Gentle Blade,688,0,231
147,RONNIESTOPPABLE,687,0,436
148,Clair666,686,0,564
149,JiveNThrive,685,0,438
150,TFTshinyruo,685,0,146
151,Vincentc33,684,0,146
152,Pawnup,682,0,648
153,BBBBBBBBBBBB12,681,0,202
154,CharlesDC,681,0,188
155,Incite,676,0,437
156,NA FREE KEKW,675,0,333
157,afkdrew,675,0,476
158,ADHDisco,675,0,380
159,sÓi 3 chÂn NA,667,0,193
160,Saibur,664,0,363
161,Xeno,663,0,336
162,DoYouWantSomeTea,662,0,652
163,kci,659,0,275
164,m00jo,658,0,296
165,emilywang,657,0,355
166,CamelCarpenter,653,0,298
167,Helping,652,0,256
168,demon king joby,649,0,301
169,TftZoro,648,0,309
170,    ˆŁxmˆ  ,647,0,290
171,TheXienator,644,0,235
172,nctn,643,0,367
173,Zaddo,642,0,257
174,GlassySky47,641,0,302
175,HarmlessPikachu,639,0,310
176,DIVib SA,639,0,148
177,Jamîe,637,0,344
178,Maxxxers,637,0,394
179,Trade,635,0,365
180,RC1,632,0,222
181,Mr 46,631,0,825
182,KAL1 Xi,630,0,199
183,Flightzy,629,0,298
184,Wøng,628,0,200
185,jolly p,628,0,656
186,TrucBacKy,628,0,773
187,WHALEOFPEACE,627,0,268
188,Stellar Minhee,626,0,160
189,Pivot Valorant,625,0,242
190,J or C 2,624,0,115
191,FingerLicker,624,0,278
192,RippleOverdrive2,622,0,141
193,wnvr,621,0,375
194,Hìkari,621,0,360
195,Sserendipity,621,0,273
196,60ember,619,0,243
197,iSexyHugoBabyGOD,618,0,357
198,Rolling ZoZo,618,0,193
199,PhearzMeh,617,0,384
200,mawima,616,0,277
201,brandxnTFT,615,0,179
202,Tragoose,615,0,580
203,WuMonkey,614,0,392
204,Bcraz,613,0,452
205,Isaac142,613,0,306
206,LU JIA HONG,611,0,363
207,sponcyy,609,0,411
208,Myucil,609,0,265
209,Alpa7,609,0,449
210,3 star yasuo,608,0,141
211,hi im obra,606,0,238
212,ImSoFetch,605,0,358
213,FatalMyth,605,0,414
214,becca tilts,603,0,670
215,server diffed ,603,0,184
216,Bruhbruhbruh WHO,603,0,399
217,VanillaXD,602,0,373
218,agentpk1,601,0,204
219,Thats So Frodan,601,0,236
220,MooFoo,601,0,173
221,trikpi,599,0,226
222,TFT BinBin2,599,0,407
223,SkiingStarfruit,598,0,395
224,łillian,598,0,132
225,SmurfSquatch,598,0,345
226,Homesick,597,0,223
227,Swipp,596,0,182
228,Pitzy ,595,0,346
229,FoemanDD,594,0,150
230,DangoX,594,0,210
231,FP0,593,0,530
232,iCopyKeane,593,0,207
233,LegEndDairyDude,591,0,220
234,PBE 77,591,0,183
235,ChungMoney12,588,0,131
236,ShoshinTFT,586,0,263
237,gaozi,586,0,109
238,Connerisme,585,0,304
239,Âzarin,584,0,229
240,Klustic,583,0,317
241,Jummychu,582,0,523
242,Deep Learning,581,0,271
243,See u next time,577,0,240
244,CommandoC,568,0,503
245,idontdocardio,565,0,377
246,RvyaSuihe,550,0,405
247,ache essay,527,0,384
248,OMGTacoTuesdays,517,0,283
249,KOBEent,502,0,190
250,devlus,672,0,348
251,Live for the Day,640,0,564
252,Du Uyên,631,0,317
253,soup eater,609,0,374
254,ttv p1vaaa,603,0,239
255,EvilHorseradish,599,0,135
256,Lambo,587,0,445
257,5tunt,581,0,447
258,Pray2RNGesus,580,0,341
259,Volcaronitee,580,0,283
260,MEMIDMEMIDMEMID,580,0,332
261,imShanix,578,0,269
262,Ripple Overdrive,577,0,164
263,KR Escha,577,0,119
264,BIGsunnyDEE,576,0,287
265,Rekk,576,0,315
266,cmxiaotianshi,575,0,206
267,Hafu,571,0,331
268,marcellasne,571,0,313
269,EvilGenius,570,0,203
270,Big Garlic,568,0,117
271,Kaíro,568,0,137
272,bitibaraga,568,0,368
273,yehacker boy,564,0,165
274,Firethorn,563,0,182
275,Yunan,563,0,223
276,Keima,563,0,227
277,Fiscality,562,0,264
278,NG Tae,558,0,261
279,trikpu,556,0,159
280,pandaQ,556,0,198
281,TFT rookie BoBo,555,0,169
282,JukeYou,553,0,242
283,TTV alexkimtft,552,0,549
284,Nexthy,550,0,380
285,binghin,550,0,197
286,Geriatric Canyon,550,0,303
287,NugeTV,547,0,247
288,skunkywinn,547,0,288
289,MenhitSedna,546,0,181
290,horny and alone,545,0,192
291,Depew,545,0,269
292,Wøømy,535,0,231
293,Whae,533,0,321
294,Kenyounot709,533,0,225
