,Nick,League Points,Total Games,Daily League Points,Daily Games
0,Slooper,1837,303,0,0
38,zzhcet,1781,405,0,0
97,Orono Noguchi,1747,372,0,0
98,BES Toddy,1687,419,0,0
99,BES DobZ,1668,281,0,0
100,Shirazu,1604,404,0,0
101,BES ego illusion,1553,422,0,0
102,DETETIVE ALINE,1530,324,0,0
103,Sh1razu,1465,421,0,0
104,eusouolucas,1463,344,0,0
105,Math108,1442,309,0,0
106,Ciulla,1343,653,0,0
107,KDA Kaos,1302,656,0,0
108, vclf,1301,398,0,0
109,FOUR Dianbizir,1278,431,0,0
110,BES Midor1ya,1274,644,0,0
111,LeS Neuro,1267,391,0,0
96,d00pE,1251,492,0,0
94,Miguel Arkjow,1233,475,0,0
77,gabsreal,1195,302,0,0
93,EMS NiihiI,1185,1129,0,0
78,BEE itachi,1181,240,0,0
79,inc mplete,1166,679,0,0
80,BD Wed,1116,923,0,0
81,FOUR Dairon,1115,293,0,0
82,DobZ,1106,140,0,0
83,Mallenda,1101,507,0,0
84,Durkzera,1096,440,0,0
85,Sh0W,1088,239,0,0
86,BES Patr0ci,1087,749,0,0
87,Haxwei,1045,199,0,0
88,KDA Nefalla,1002,320,0,0
89,Koala Esbelto,987,340,0,0
90,FOUR BieuL,986,303,0,0
91,Eunucão,975,685,0,0
92,BEE Anklam,975,325,0,0
112,PepeChill ,965,686,0,0
113,TFx Creitu,945,446,0,0
114,Pikáchú,928,376,0,0
115,JosneyQT,927,420,0,0
135,Nefalla TFT,924,360,0,0
136,Make Them Suffer,912,283,0,0
137,Kleike,912,448,0,0
138,Twitch Phelpz13,902,463,0,0
139,Gune,895,1034,0,0
140,Levi,880,688,0,0
134,Krowck,868,642,0,0
141,AI CE TOMA,863,276,0,0
143,Endeev,840,971,0,0
145,quavolino,825,604,0,0
146,Rafael Araújo,823,422,0,0
147,Irmão Koda,815,293,0,0
148,Ieko,815,339,0,0
142,Melkor Nightmare,814,476,0,0
133,BES vipi,811,740,0,0
132,Suwuplente,783,243,0,0
144,LeS Jhin,780,531,0,0
131,KDA Constantine ,775,557,0,0
116,Senta Pro Espeto,768,429,0,0
117,Zehluk TFT,767,360,0,0
118,Guiczar,750,541,0,0
119,BES Narkesh,744,418,0,0
120,RaafaaelG,741,496,0,0
121,KDA msK,739,441,0,0
122,Guzzão ,734,421,0,0
123,KaveGod,734,261,0,0
124,KDA Sukesvs,730,425,0,0
125,BEE Soft,729,340,0,0
126,Dan Smith,719,184,0,0
127,XadrezdePobre,714,170,0,0
128,PedroBanana,710,752,0,0
129,zViic,710,582,0,0
130,RafaStark,707,234,0,0
95,rayazao,704,341,0,0
76,nojiris,700,364,0,0
75,InfamaO,698,211,0,0
21,SrRipper,693,245,0,0
74,NessHS,693,846,0,0
22,LeS Allanzim,691,418,0,0
23,Steps Days,689,334,0,0
24,Jessica Pandora,687,176,0,0
25,Gzaga,685,350,0,0
26,KDA wenked,681,591,0,0
27,Tsuuzaki,678,411,0,0
28,TFx Sepeda,669,363,0,0
29,BEE Erith,665,429,0,0
30,Soníc,664,303,0,0
31,Arckie,654,297,0,0
32,Renato o Delgado,653,548,0,0
33,Shh0W,634,216,0,0
34,find cost five ,623,381,0,0
35,Rendras,618,207,0,0
20,AtHoM44,609,131,0,0
18,HR felipeeanjos,608,348,0,0
1,xXChaosunXx,607,239,0,0
17,Flangonator,605,671,0,0
2,LeS livinda,601,248,0,0
3,Drugsky0811,598,261,0,0
4,blanka21,594,371,0,0
5,ALEEjadinho,592,206,0,0
6,SLZ LucLuc,592,316,0,0
7,Tjjuninho,591,338,0,0
8,MittCrowen,589,365,0,0
9,BEE Roça,583,266,0,0
10,Cash,581,179,0,0
11,É 0 GRÊMIO,576,235,0,0
12,FOUR Jinnai,567,241,0,0
13,Gabymar10,567,481,0,0
14,RD Bhaltamos,567,409,0,0
15,FOUR Breslley,561,158,0,0
16,LeS Thayná,560,131,0,0
36,Alkmena,556,496,0,0
19,garridoo,555,221,0,0
37,paivä,549,169,0,0
57,Graves Foragido,549,513,0,0
59,KDA Bizola,542,336,0,0
60,bujsnuflr,541,309,0,0
61,Tamizo,538,528,0,0
62,Dont row down,535,270,0,0
63,Eddie Jr,535,410,0,0
64,Freez,534,469,0,0
65,f1 ouvindo blues,532,213,0,0
66,gainetera,531,183,0,0
67,ChavaChavaChava,529,221,0,0
68,A C O R D A R,526,148,0,0
69,hopperion,525,284,0,0
70,JPLME10,524,308,0,0
71,iTriverr,521,396,0,0
72,Puke and Cry,518,545,0,0
73,Andreeker,515,100,0,0
58,server dif ,514,236,0,0
56,BEE Barry,512,417,0,0
39,Perso TFT,511,440,0,0
40,KrashS,510,176,0,0
55,ddu,510,600,0,0
41,ThangChivass,492,926,0,0
42,TFx Goiabeira,491,272,0,0
43,Kenji1 TFT,489,385,0,0
44,TFx D klein,489,638,0,0
45,BORGAOO,484,633,0,0
46,Pàla,483,198,0,0
47,KDA AtHoM44,479,553,0,0
48,TKZ Baji,477,384,0,0
49,Mefsu,475,244,0,0
50,xXSTORM BREAKER,471,431,0,0
51,Cabelo,471,219,0,0
52,masaya,468,194,0,0
53,PLaaT,465,249,0,0
54,the955,461,425,0,0
149,Espada De Miguel,436,311,0,0
