,Nick,League Points,Total Games,Daily League Points,Daily Games
0,Guo Bailing,1921,487,1011.0,290.0
1,ImSøFresh,1410,484,955.0,176.0
2,Wet Jungl3r,1254,151,910.0,68.0
3,Texita TFT,1446,404,897.0,146.0
4,ASTROBOY10,1384,415,885.0,113.0
5,Ãki,1388,846,723.0,286.0
6,Xú Fèng Nián,924,354,722.0,158.0
7,Keudaw,910,499,706.0,160.0
8,Battletaure,1339,454,697.0,76.0
9,adreh,1131,616,694.0,300.0
10,Alrevan TFT,1078,398,674.0,139.0
11,Maxwellβoltzman,1380,554,672.0,220.0
12,ttv p1vaaa,1004,317,671.0,154.0
13,Yobidashi,1041,493,667.0,208.0
14,Squishy Squashy,1114,566,663.0,121.0
15,Drenaco,1079,251,657.0,76.0
16,NadimCoSięumył,1329,404,631.0,250.0
17,Dicob,978,480,620.0,221.0
18,ARMA ACKK,1093,783,608.0,269.0
19,EXPLOOOOOOOSION,956,481,599.0,238.0
20,Äegiman,1067,202,581.0,55.0
21,Papua Naiyo,936,455,570.0,89.0
22,ANO Kezman,978,546,566.0,205.0
23,h4udrauf,999,740,561.0,331.0
24,OGiii,1394,430,554.0,149.0
25,Battletaurexd,1304,374,552.0,227.0
27,asaiab,1272,749,552.0,246.0
26,KRC Gheed,936,302,552.0,98.0
28,xiellendario,1270,801,550.0,380.0
29,CD ThePikachu,1011,369,547.0,131.0
30,Pollyw0g,836,210,539.0,58.0
31,C EQUALS THREE,1016,235,537.0,148.0
32,ULB Breyting,919,369,534.0,191.0
33,zomgowy,963,408,516.0,150.0
34,ego illusions,1175,256,507.0,115.0
35,KeyHoi,1205,276,504.0,122.0
36,why miss,1176,214,500.0,41.0
37,TFT KRALI,937,849,499.0,434.0
39,uknowSawyer,1296,343,491.0,85.0
40,EDC PeBe,1158,389,491.0,91.0
38,Mortdogwater,962,248,491.0,82.0
41,GingGG,1127,368,486.0,247.0
42,Turgido95,1020,1063,483.0,373.0
43,TTV Hamhamgang,992,314,483.0,145.0
44,Daaave,1014,555,482.0,146.0
45,PTMEK,741,836,480.0,312.0
46,ToonuTv,1073,486,475.0,99.0
