,Nick,League Points,Total Games,Daily League Points,Daily Games
0,害獣あらいぐま,1119,462,728.0,166.0
1,Bomelee,1077,306,645.0,136.0
2,Yuna,1011,621,627.0,251.0
3,xtc,985,336,601.0,162.0
4,allestio,1029,703,566.0,211.0
5,dozepk,937,522,531.0,188.0
6,Anemone123,765,801,483.0,327.0
7,kaito716,1169,594,468.0,248.0
8,88888889,867,250,460.0,40.0
9,tupeko,790,484,442.0,179.0
10,ぬるかな,767,457,442.0,292.0
11,あきこだよ,1045,321,441.0,193.0
12,高科 奈桜,1001,815,420.0,211.0
13,glutane,849,570,408.0,224.0
14,ginya916,1069,499,385.0,141.0
15,Orgap,885,401,381.0,137.0
16,kes,1395,575,353.0,204.0
17,山田周人,1152,302,337.0,125.0
18,  インターネット,899,457,333.0,77.0
19,kohada19,772,318,330.0,137.0
20,Syre,684,275,322.0,76.0
21,しびら,710,1162,314.0,463.0
22,南梦芽大好き,877,443,310.0,296.0
23,わたなべ,875,457,294.0,86.0
24,jeremy624,1081,308,283.0,68.0
25,title,1449,678,272.0,233.0
26,ゆめの,599,568,265.0,148.0
27,ルシム,606,713,264.0,428.0
28,kenana77,677,551,262.0,197.0
29,ミドリガメ,846,145,227.0,38.0
30,pano,723,435,223.0,97.0
31,hirateuti,563,225,218.0,84.0
32,youxibaga1,539,551,218.0,261.0
34,じーく,1253,687,213.0,161.0
33,BigInKey,601,996,213.0,491.0
35,Just Hitt,538,228,201.0,47.0
36,bappy,765,799,179.0,148.0
37,ginTab,930,420,173.0,130.0
38,MengGua,716,745,164.0,274.0
39,ゴマちゃん,693,633,162.0,247.0
40,gasin,859,638,154.0,243.0
41,watchhhhhh,608,328,147.0,192.0
42,dungeon64,522,396,133.0,119.0
43,suihanjaaa,916,601,120.0,236.0
44,maonn,430,386,110.0,194.0
45,Hiraino,1148,1003,94.0,485.0
46,trotv,887,235,92.0,74.0
47,next777,867,699,79.0,145.0
48,HiROKKtft,779,782,74.0,184.0
49,しかめまどか,871,701,54.0,241.0
50,takosan,500,479,49.0,180.0
51,sobakotu,788,438,42.0,204.0
53,スト缶ODしのぴ,692,700,35.0,226.0
52,おさむらい,472,464,35.0,42.0
54,Rise8332,1141,556,5.0,158.0
55,きじちゃん,678,641,4.0,177.0
56,tikpen,746,710,-7.0,192.0
58,NiuHS,687,536,-15.0,223.0
57,れっさーくん,594,597,-15.0,365.0
59,ハーレイ,718,560,-23.0,226.0
60,ぬこ丸,849,463,-31.0,166.0
61,Archsy,583,628,-58.0,197.0
62,りーり,927,896,-121.0,354.0
63,やつはし,1112,448,-188.0,135.0
64,popo3,508,396,-249.0,116.0
65,やふーくん,619,443,-290.0,128.0
66,Best 佐藤 JP,766,592,-438.0,124.0
67,Best太郎JP,1176,459,,
68,vvvvvvvvvipp,940,360,,
69,hakutou,865,455,,
70,thePr0misedEnd,844,95,,
71,かおすなんば,822,366,,
72,YellowStaR,813,332,,
73,etsuya0505,812,659,,
74,ネコパンチ,802,291,,
75,CitizenV,772,395,,
77,ekollon,765,1006,,
76,ますたろう,733,454,,
78,素人は回しとれ,726,681,,
79,VNS Ponry,714,516,,
80,鳥取で一番強い男,713,211,,
81,miswired,702,212,,
82,や や,698,211,,
83,aburaman,674,1044,,
84,るんるん,658,378,,
85,MLE,649,101,,
86,rossi,644,733,,
87,Egoistic,634,121,,
88,phanvansy,626,347,,
89,yahookun,620,178,,
90,スガイヌオ,594,440,,
91,santooooo,589,258,,
92,ふるつぼ,575,634,,
93,nxnam,573,269,,
94,JagaPokkuru,563,152,,
95,cøcø,549,456,,
96,jgzg,545,335,,
97,ここどこ,534,285,,
98,Neriume,534,580,,
99,karuuu,533,229,,
100,nobupiko,526,958,,
101,hit1min,525,108,,
102,SilverWine,521,243,,
103,Roy Steiner,517,715,,
104,kimyoon,517,158,,
105,onetin,516,352,,
106,subarun4,515,300,,
107,shan777,515,443,,
108,ネネンネ,512,261,,
109,patolik,510,477,,
110,tomonar1,500,273,,
111,kloo,500,87,,
112,eto333,496,583,,
113,さわわい,488,507,,
114,VN tinoo,479,462,,
115,gaiti,470,364,,
116,shabtyu,468,461,,
117,Còncáinit1,467,764,,
118,0m0chi,467,423,,
119,tuttu,463,780,,
120,Aberia,458,419,,
121,ちきん肌,457,114,,
122,STM Sonsmaill,453,198,,
123,Theshy qi fei,452,413,,
124,橘右京cn,452,527,,
125,7Silky7,451,290,,
126,15FF Player,448,221,,
127,VN TuyenAnh,447,500,,
128,リズム,446,241,,
129,だっつJP,441,353,,
130,NILOL,436,886,,
131,mustan2123,436,660,,
132,さわわわい,435,166,,
133,seiyajp5,432,310,,
134,BeardPapa,429,575,,
135,fxgil,425,382,,
136,しゃぶの助aka汁,425,197,,
137,kanichang,420,150,,
138,JIHARA,419,377,,
139,サモナー1,418,426,,
140,znhy112,417,281,,
141,なかやまじんに君,416,491,,
142,かりかりべーこん,415,550,,
143,STM Toàn Sinoda,414,396,,
144,ももしば,412,106,,
145,Dr コトオ,408,173,,
146,taiyo001,408,92,,
147,hit0min,408,408,,
148,ダンゴ,392,195,,
149,FluffyRabbit,385,396,,
