,Nick,League Points,Total Games,Daily League Points,Daily Games
0,SanChess,1686,305,0,0
113,TwTF 드록바,1603,187,0,0
594,피부미인드록바,1590,420,0,0
595,uL ZENIA,1575,624,0,0
596,PBE안해도너보다잘함,1573,185,0,0
597,저격수S,1573,203,0,0
598,FA strongsexy,1533,397,0,0
599,uL precel,1532,661,0,0
600,T1 Bebe872,1523,448,0,0
601,지보배2,1477,183,0,0
602,오박사TV,1453,442,0,0
603,강선종,1410,579,0,0
604,My Paradise,1410,225,0,0
593,뚜 두,1408,262,0,0
605,베승기,1395,376,0,0
607,카시장인 삿카시,1378,342,0,0
608,퐈피는 잘못없어,1372,320,0,0
609,정동글 YouTube,1353,291,0,0
610,우쭐리우중,1348,467,0,0
611,엘무무 Youtube,1331,548,0,0
612,TwTF 김준민,1323,468,0,0
613,JJangsung 2 YA,1320,564,0,0
614,줘 너,1316,356,0,0
615,Mig Global,1304,373,0,0
616,두눈이,1300,391,0,0
617,Acro DrucKer,1292,428,0,0
606,천연만화,1280,403,0,0
591,uL 판키,1276,601,0,0
578,밀짚모자 쌍옆,1275,337,0,0
590,초가스와 코그모,1273,343,0,0
566,광어콩,1248,612,0,0
567,지보배,1241,310,0,0
568,TFT 가지볶음,1240,429,0,0
569,bn 뽀뇨뽀노,1231,300,0,0
570,짐승의삶z,1206,145,0,0
571,여리링,1205,260,0,0
572,장유보안관,1190,351,0,0
573,영판항,1189,507,0,0
574,TwTF 표면,1184,186,0,0
575,ManChodi TFT,1182,358,0,0
576,나연아보고싶어그때로돌아가자우리,1181,202,0,0
565,곰과제리,1162,453,0,0
577,Luzesky,1158,481,0,0
579,신루리,1154,345,0,0
580,표 면,1153,468,0,0
581,진우와 윌럼프,1152,389,0,0
582,인성파탄난쓰레기,1151,465,0,0
583,정신이있니없니,1147,391,0,0
584,뿔보 정점 김뚜헝,1144,434,0,0
585,퀸카 은지,1143,229,0,0
586,롤체열심히함,1140,780,0,0
587,NA OH MY EYE,1136,342,0,0
