Nick,League Points,Ciclo 2,Soma dos pontos do snap,Partidas Totais
EMS NiihiI,1591,100,100,960
 vclf,1560,90,90,296
Slooper,1555,80,80,271
BES ego illusion,1554,70,70,368
Caju vc prometeu,1501,60,60,364
d00pE,1492,55,55,341
Orono Noguchi,1480,50,50,331
KDA Kaos,1469,45,45,536
BES Toddy,1468,35,35,367
Math108,1429,35,35,265
Miguel Arkjow,1347,35,35,361
Shirazu,1330,35,35,345
DETETIVE ALINE,1321,35,35,295
Ciulla,1298,35,35,478
BES DobZ,1273,35,35,245
BES Midor1ya,1244,35,35,540
Sh1razu,1236,35,35,333
Gune,1202,35,35,877
G2 Anklam,1123,35,35,291
Durkzera,1120,35,35,398
eusouolucas,1094,35,35,252
Eunucão,1077,35,35,515
PepeChill ,1053,35,35,570
Koala Esbelto,1044,35,35,282
TFx Creitu,1040,35,35,369
KDA wenked,992,25,25,427
FOUR Dairon,981,25,25,248
FOUR Dianbizir,947,25,25,374
JosneyQT,944,25,25,379
LeS Jhin,931,25,25,418
HR felipeeanjos,929,25,25,276
inc mplete,872,25,25,448
Endeev,834,25,25,819
KDA Nefalla,834,25,25,295
Levi,822,25,25,662
zViic,819,25,25,527
Make Them Suffer,810,25,25,255
BEE itachi,799,25,25,172
RafaStark,779,25,25,167
KDA Sukesvs,764,25,25,380
gabsreal,763,25,25,264
FOUR BieuL,763,25,25,260
Eddie Jr,757,25,25,301
Kleike,754,25,25,378
Tsuuzaki,747,25,25,295
BES vipi,745,25,25,645
Haxwei,741,25,25,142
Pikáchú,735,25,25,355
PedroBanana,735,25,25,611
ALEEjadinho,732,25,25,183
quavolino,730,15,15,472
Guiczar,730,15,15,396
Yvissaur,729,15,15,204
Flangonator,724,15,15,630
Sh0W,706,15,15,172
Krowck,704,15,15,493
Viciado em Café,703,15,15,362
Mallenda,697,15,15,359
Gabymar10,687,15,15,335
me vê 4 pães,675,15,15,160
Zehluk TFT,675,15,15,260
BD Wed,651,15,15,541
Tjjuninho,645,15,15,301
Irmão Koda,644,15,15,229
KaveGod,636,15,15,214
Suwuplente,634,15,15,159
BEE Soft,631,15,15,238
LeS Neuro,630,15,15,296
Rafael Araújo,624,15,15,392
Isonomy,598,15,15,157
Shh0W,567,15,15,177
directorayres,567,15,15,506
Cool Guy0,565,15,15,212
TFx Goiabeira,555,15,15,220
Nefalla TFT,549,15,15,324
NessHS,544,15,15,690
Q Flash,540,15,15,143
Son Hye Jo0,534,15,15,173
Dont row down,533,15,15,216
BEE Erith,531,15,15,315
KDA Constantine ,518,15,15,483
Bom em nada Igor,515,15,15,210
Yuzuki Choco,515,15,15,84
Soníc,514,15,15,275
BES Patr0ci,514,15,15,554
nojiris,511,15,15,349
Carneiro Gamer,497,15,15,252
MegaJonga,490,15,15,441
Carinha de Raiva,488,15,15,274
Summer578,486,15,15,152
Arckie,483,15,15,273
Renato o Delgado,476,15,15,361
A C O R D A R,468,15,15,125
zaai,463,15,15,217
xiao dian dian k,461,15,15,348
Pri Kitta,459,15,15,237
Kenji1 TFT,459,15,15,300
Worfete,451,15,15,120
Borriss,450,15,15,165
MaaTzin,449,15,15,289
Ueckar,444,5,5,73
xFlashy Flash,443,5,5,238
Lyawr,437,5,5,530
ThiaGoku,435,5,5,161
Hikaru s,434,5,5,119
Shinja,433,5,5,206
Aragatheus,430,5,5,303
Rendras,427,5,5,162
Melkor Nightmare,422,5,5,425
Davvi AC,421,5,5,214
Roça Blacks,417,5,5,198
SLZ Thayná,416,5,5,115
Akali Preguiçosa,415,5,5,216
Drugsky0811,412,5,5,215
find cost five ,410,5,5,299
musica p drift,408,5,5,204
kamikzz,408,5,5,231
Leo3l,406,5,5,133
Freez,404,5,5,355
SLZ LucLuc,403,5,5,205
Ieko,401,5,5,240
Twitch Phelpz13,399,5,5,379
ddu,396,5,5,522
LeS Allanzim,395,5,5,340
Puke and Cry,391,5,5,431
JackPoste,390,5,5,86
garridoo,389,5,5,168
EVA Asuka Soryu,387,5,5,130
Control DeviI,387,5,5,128
hopperion,383,5,5,235
Barrymain,382,5,5,376
BizoIa,381,5,5,247
AI CE TOMA,381,5,5,216
PHonda,380,5,5,121
Vulpi,378,5,5,668
DOG Ryok,376,5,5,149
masaya,373,5,5,174
Miti,373,5,5,136
Gzaga,372,5,5,287
PLaaT,372,5,5,228
JPLME10,371,5,5,263
CRIMINOUSER,370,5,5,205
me vê 7 pães,367,5,5,78
Novoselic,366,5,5,209
GSCFLN,366,5,5,135
Capuccini,365,5,5,159
Kyran,365,5,5,97
Pàla,364,5,5,180
MittCrowen,364,5,5,277
Chawa,363,5,5,245
